c Example CNF with 20 variables and 50 clauses
p cnf 20 50
 1 -3 4 0
-1 2 -5 0
 6 -7 8 0
-2 -4 9 0
10 -11 12 0
-6 7 -13 0
14 15 -8 0
-9 -10 16 0
11 -12 17 0
-13 14 -15 0
16 17 18 0
-16 -17 -18 0
1 -2 3 0
-3 4 -5 0
6 7 8 0
-6 -7 -8 0
9 -10 11 0
-9 10 -11 0
12 13 14 0
-12 -13 -14 0
15 16 17 0
-15 -16 -17 0
18 19 20 0
-18 -19 -20 0
1 -4 7 0
-2 5 -8 0
3 -6 9 0
-1 -3 -5 0
2 4 6 0
-7 -8 -9 0
10 11 12 0
-10 -11 -12 0
13 14 15 0
-13 -14 -15 0
16 17 18 0
-16 -17 -18 0
19 20 -1 0
-19 -20 2 0
3 -4 5 0
-6 7 -8 0
9 10 -11 0
-12 13 -14 0
15 16 -17 0
-18 19 -20 0
1 2 -3 0
4 -5 6 0
7 -8 9 0
-10 11 -12 0
13 -14 15 0
